source,target
Steven Spielberg,Alex Proyas
Lana Wachowski,Lee Tamahori
Zack Snyder,Joel Schumacher
Peter Jackson,Robert Schwentke
Martin Campbell,NA
Jonathan Mostow,Oliver Stone
Zack Snyder,John Woo
Bryan Singer,Joel Schumacher
Steven Spielberg,Ang Lee
Carl Rinsch,Kenneth Branagh
Brett Ratner,Phillip Noyce
Joseph Kosinski,Mark Osborne
Martin Campbell,David Soren
James Wan,Louis Leterrier
J.J. Abrams,Bill Condon
Joss Whedon,David Twohy
Brett Ratner,Darren Aronofsky
Michael Bay,Tim Johnson
Rob Cohen,Rob Minkoff
Lee Unkrich,Paul Greengrass
J.J. Abrams,NA
Joseph Kosinski,Phillip Noyce
Baz Luhrmann,NA
Steven Spielberg,Peter Weir
Roland Emmerich,Ang Lee
Robert Stromberg,Jennifer Yuh Nelson
Zack Snyder,José Padilha
Barry Sonnenfeld,John Woo
Anthony Russo,Guy Ritchie
Doug Liman,Rob Minkoff
Matt Reeves,Jennifer Yuh Nelson
Jonathan Mostow,Ron Howard
Jon Turteltaub,Oliver Stone
James Wan,Mark Osborne
Guillermo del Toro,NA
James Bobin,Michael Apted
Steven Spielberg,NA
Lana Wachowski,Jon M. Chu
David Fincher,George Miller
Tim Burton,Carlos Saldanha
Rob Cohen,Edward Zwick
Sam Mendes,Steven Soderbergh
Joss Whedon,Cedric NicolasTroyan
Peter Jackson,Neill Blomkamp
Ridley Scott,Tim Story
Roland Emmerich,Bill Condon
Martin Scorsese,Richard Donner
Christopher Nolan,Steven Soderbergh
James Cameron,Raja Gosnell
Sam Mendes,Michel Gondry
Nathan Greno,Dave Green
Michael Bay,Robert Schwentke
Steven Spielberg,Paul Greengrass
Rob Cohen,Richard Donner
Brad Bird,M. Night Shyamalan
Alan Taylor,Oliver Stone
Tim Burton,John McTiernan
Joseph Kosinski,Robert Schwentke
Steven Spielberg,Mark Osborne
Roland Emmerich,NA
Doug Liman,Edward Zwick
James Cameron,Jan de Bont
Robert Stromberg,Alessandro Carloni
Wolfgang Petersen,Ron Howard
Tim Burton,Joel Schumacher
Martin Campbell,Robert Schwentke
Lana Wachowski,NA
Mike Mitchell,Rob Minkoff
Michael Bay,John McTiernan
Mike Newell,Alfonso Cuarón
Steven Spielberg,Phillip Noyce
James Cameron,Michael Mann
Guillermo del Toro,Alfonso Cuarón
Rob Letterman,NA
Gore Verbinski,Michael Mann
Marc Webb,Kirk De Micco
Mike Newell,Matt Birch
Michael Apted,George Miller
Chris Weitz,George Lucas
Brett Ratner,Mark Steven Johnson
Rob Cohen,Louis Leterrier
Brett Ratner,Neill Blomkamp
James Wan,Guy Ritchie
Steven Spielberg,Matt Birch
Shawn Levy,Chris Buck
Peter Berg,George Lucas
McG,John McTiernan
Doug Liman,Bill Condon
Oliver Stone,Kenneth Branagh
Shawn Levy,George Miller
Sam Raimi,Frank Coraci
Martin Campbell,John Woo
Baz Luhrmann,Guy Ritchie
Martin Scorsese,Paul Greengrass
Brad Bird,Edward Zwick
Doug Liman,NA
Duncan Jones,Joe Johnston
Gore Verbinski,Tony Scott
Tim Burton,George Lucas
Brett Ratner,James Mangold
Jon Turteltaub,David Bowers
Joss Whedon,Michael Mann
Ridley Scott,Brad Peyton
Peter Berg,Roger Donaldson
J.J. Abrams,Joel Schumacher
Stephen Sommers,NA
George Miller,Ron Howard
Guillermo del Toro,John McTiernan
Roland Emmerich,Chris Columbus
Doug Liman,Paul Greengrass
Dean DeBlois,Alex Proyas
Oliver Stone,Joe Johnston
James Cameron,Quentin Tarantino
Ridley Scott,Steven Soderbergh
Steven Spielberg,John McTiernan
Dean DeBlois,Richard Donner
Peter Berg,Brad Peyton
James Bobin,Rob Minkoff
Sam Mendes,Quentin Tarantino
Andrew Adamson,Frank Coraci
Brett Ratner,Roger Donaldson
James Wan,David Twohy
David Fincher,Edward Zwick
Chris Weitz,Noam Murro
Martin Campbell,Kirk De Micco
McG,James Mangold
Steven Spielberg,Tim Story
Robert Stromberg,Mark Osborne
Duncan Jones,Lee Tamahori
Kenneth Branagh,Jonathan Liebesman
Sam Mendes,Simon West
Barry Sonnenfeld,Michael Mann
Ridley Scott,Jan de Bont
Tim Burton,Roger Spottiswoode
Brett Ratner,Brad Peyton
Brad Bird,NA
Roland Emmerich,Joel Schumacher
Jon Turteltaub,Alex Proyas
Michael Apted,Lee Tamahori
Kenneth Branagh,Joe Johnston
Sam Mendes,Spike Jonze
Michael Bay,Brad Peyton
Steven Spielberg,David Twohy
David Ayer,Chris Columbus
Robert Stromberg,Phillip Noyce
Oliver Stone,Lee Tamahori
James Cameron,Peter Hyams
Gore Verbinski,Florian Henckel von Donnersmarck
Marc Forster,Tony Scott
Peter Berg,Jan de Bont
Dean DeBlois,NA
Wolfgang Petersen,Richard Donner
Oliver Stone,Paul Feig
Michael Bay,Steven Soderbergh
Roland Emmerich,Mark Steven Johnson
Robert Zemeckis,Tim Story
James Wan,Roger Donaldson
Justin Lin,David Twohy
Pete Docter,John Woo
Matt Reeves,Alfonso Cuarón
Brad Bird,Peyton Reed
Barry Sonnenfeld,Tony Scott
J.J. Abrams,Roger Donaldson
Steven Spielberg,George Lucas
Oliver Stone,Dean Parisot
Dan Scanlon,Will Finn
Michael Apted,Alex Proyas
Oliver Stone,Edward Zwick
Kevin Reynolds,Guy Ritchie
David Fincher,Alejandro G. Iñárritu
Oliver Stone,Alex Proyas
Gore Verbinski,Ericson Core
Ridley Scott,Tony Scott
Martin Campbell,Noam Murro
Michael Bay,Len Wiseman
James Gunn,Peyton Reed
Jon Turteltaub,NA
Oliver Stone,Ang Lee
Doug Liman,Joel Schumacher
Dan Scanlon,Bo Welch
Martin Campbell,Jan de Bont
Doug Liman,John Woo
Shawn Levy,Ang Lee
Ridley Scott,Quentin Tarantino
Mike Newell,Steven Soderbergh
Rob Cohen,David Twohy
Shawn Levy,Jon M. Chu
Andrew Adamson,Chris Wedge
Matt Reeves,John McTiernan
Duncan Jones,NA
Brett Ratner,Dominic Sena
Robert Zemeckis,Roger Donaldson
Ron Howard,Richard Donner
J.J. Abrams,Jan de Bont
Justin Lin,Brad Peyton
Rob Cohen,James Mangold
Michael Apted,NA
Shawn Levy,Peter Weir
Andrew Adamson,Tom Tykwer
Ridley Scott,Stefen Fangmeier
McG,Michael Mann
Marc Forster,Brad Silberling
Michael Bay,Tony Scott
Justin Lin,Steven Soderbergh
Brad Bird,John McTiernan
Wolfgang Petersen,Phillip Noyce
David Bowers,Rob Minkoff
Ridley Scott,Chris Wedge
Doug Liman,James Mangold
Robert Stromberg,Neill Blomkamp
Brad Bird,Tony Gilroy
Dean DeBlois,Guy Ritchie
David Fincher,Tom McGrath
Joe Wright,Rob Minkoff
Peter Jackson,Tom Tykwer
Brad Bird,Joel Schumacher
Steve Hickner,Edward Zwick
Dan Scanlon,Quentin Tarantino
Lana Wachowski,Steven Soderbergh
Gore Verbinski,Wally Pfister
Michael Bay,Quentin Tarantino
